SiteID,Longitude,Latitude
219,-106.3259,39.2962
235,-104.7334,38.6507
475,-105.9953,38.1181
491,-103.8946,38.3101
507,-108.5856,40.3002
683,-103.0238,38.0952
747,-104.9077,37.1455
923,-107.8613,39.8959
939,-106.0438,39.1815
1115,-104.4976,40.3967
1195,-102.5407,39.4328
1243,-106.3114,39.8965
1259,-105.9548,38.1754
1499,-106.7642,38.4041
1515,-104.0828,38.9534
1531,-107.1205,40.7201
1579,-108.6515,37.7338
1627,-106.1199,40.3992
1691,-108.711,37.6642
1707,-102.2435,38.3994
1947,-108.7956,38.844
1963,-103.2709,39.7447
2075,-103.0843,40.535
2107,-103.8118,37.0761
2155,-102.6492,37.3852
2219,-103.0921,39.8871
2267,-106.3282,38.505
2283,-104.7034,38.407
2347,-106.3777,37.3907
2539,-103.7314,37.9237
2555,-107.3878,40.0715
2603,-107.7396,37.4467
2715,-107.6892,38.0546
2731,-104.8442,39.6473
2971,-108.8796,39.8839
2987,-103.8962,39.4451
3099,-103.058,40.8422
3131,-103.7346,37.6812
3291,-107.2396,37.8425
3307,-105.6465,38.8473
3323,-107.7941,40.1452
3371,-106.873,37.2699
3499,-102.6778,38.4974
3563,-105.9272,37.6019
3579,-106.4575,40.7141
3675,-105.3443,40.5712
3739,-108.2525,38.76
3755,-104.6836,39.1527
3995,-107.1585,39.8011
4011,-104.4216,39.6125
4155,-103.9877,37.8712
4187,-104.4418,40.916
4315,-106.2517,39.234
4331,-105.1003,38.7441
4571,-106.5724,38.2135
4587,-104.1809,38.3052
4699,-105.9198,40.7977
4763,-107.6514,38.6469
4779,-102.4668,37.9559
5019,-108.8764,39.2142
5035,-105.9231,39.2772
5179,-103.1937,37.2108
5211,-104.3803,40.5239
5227,-102.224,37.7322
5291,-102.3105,39.8047
5339,-107.4751,39.3809
5355,-105.5373,38.0514
5371,-108.3302,40.6438
5611,-104.5716,38.4333
5627,-106.9423,40.438
5675,-108.7264,37.8203
5723,-105.6432,40.3112
5787,-108.2595,37.9791
5867,-105.3156,37.1844
6043,-108.2732,39.3171
6059,-103.6054,40.0876
6171,-102.3796,40.4898
6251,-102.5388,37.6433
6315,-102.9093,40.0942
6363,-106.3109,38.7136
6379,-104.6651,38.1083
6443,-106.1798,37.4033
6571,-102.1674,38.9726
6635,-103.4168,38.2306
6651,-107.4924,40.3686
6699,-107.806,37.5335
6747,-104.8988,40.7539
6811,-107.6216,37.8284
6827,-106.1423,40.0492
6939,-103.5822,40.3775
7083,-104.2472,39.1409
7227,-103.2436,37.7598
7387,-107.0984,38.3597
7403,-103.1265,38.7436
7419,-108.3114,40.0642
7467,-106.2196,36.999
7595,-102.8976,38.5831
7659,-105.0746,37.7762
7835,-108.3818,38.4163
7851,-105.008,38.9771
8091,-107.5349,39.676
8107,-104.4443,39.9565
8251,-103.8112,37.3337
8363,-102.7706,39.259
8411,-106.5615,39.914
8427,-104.809,38.9389
8667,-106.8551,38.6556
8683,-104.1619,38.0916
8795,-105.4946,40.8503
8859,-107.5547,38.5157
8875,-102.6444,38.2747
8939,-104.6051,37.1201
9115,-108.6002,38.7866
9131,-105.6852,39.4752
9243,-102.2723,40.4972
9435,-106.9132,38.8651
9451,-105.1249,38.0653
9515,-106.0664,37.5622
9707,-104.1624,38.6435
9723,-106.4502,40.2595
9771,-108.2777,37.3997
9819,-105.5214,40.6435
9883,-108.4002,37.6598
9899,-104.835,40.1084
10139,-107.6917,39.3254
10155,-103.2692,39.1326
10267,-102.4377,40.6234
10347,-102.8035,37.5167
10411,-102.6979,40.0058
10459,-106.6093,38.4688
10475,-105.8886,38.2743
10491,-109.043,40.446
10539,-106.6985,37.5332
10731,-105.5782,37.5387
10747,-107.34,40.3302
10843,-104.9614,40.7092
10907,-108.1485,37.7448
10923,-105.4614,40.0358
11035,-103.1466,40.5971
11163,-108.7419,39.5063
11179,-104.0092,39.4461
11419,-108.917,37.587
11483,-106.914,37.6971
11499,-103.5766,38.5646
11691,-102.9047,38.8241
11755,-104.6745,37.7228
11931,-108.1753,39.8735
11947,-104.6693,39.5022
12075,-102.1624,37.3529
12187,-107.55,39.5278
12203,-104.5049,39.6184
12347,-104.2432,37.2561
12379,-104.2677,40.3867
12395,-102.3767,37.3445
12459,-102.745,39.6993
12507,-106.4094,39.5774
12523,-105.8813,37.7941
12763,-107.4941,38.7214
12779,-104.5352,38.9289
12795,-107.5551,40.8334
12843,-108.3863,37.4249
12891,-105.932,40.1475
