SiteID,StateID,LandCover1,LandCover2
219,CO,Shrubland,Shrubland
235,CO,Planted/Cultivated,Pasture/Hay
475,CO,Shrubland,Shrubland
491,CO,Herbaceous Upland,Grasslands/Herbaceous
507,CO,Shrubland,Shrubland
683,CO,Herbaceous Upland,Grasslands/Herbaceous
747,CO,Herbaceous Upland,Grasslands/Herbaceous
923,CO,Forested Upland,Mixed Forest
939,CO,Forested Upland,Deciduous Forest
1115,CO,Herbaceous Upland,Grasslands/Herbaceous
1195,CO,Herbaceous Upland,Grasslands/Herbaceous
1243,CO,Shrubland,Shrubland
1259,CO,Shrubland,Shrubland
1499,CO,Shrubland,Shrubland
1515,CO,Planted/Cultivated,Pasture/Hay
1531,CO,Planted/Cultivated,Pasture/Hay
1579,CO,Forested Upland,Evergreen Forest
1627,CO,Forested Upland,Evergreen Forest
1691,CO,Shrubland,Shrubland
1707,CO,Planted/Cultivated,Row Crops
1947,CO,Forested Upland,Deciduous Forest
1963,CO,Herbaceous Upland,Grasslands/Herbaceous
2075,CO,Herbaceous Upland,Grasslands/Herbaceous
2107,CO,Herbaceous Upland,Grasslands/Herbaceous
2155,CO,Herbaceous Upland,Grasslands/Herbaceous
2219,CO,Planted/Cultivated,Small Grains
2267,CO,Forested Upland,Evergreen Forest
2283,CO,Herbaceous Upland,Grasslands/Herbaceous
2347,CO,Forested Upland,Evergreen Forest
2539,CO,Herbaceous Upland,Grasslands/Herbaceous
2555,CO,Forested Upland,Deciduous Forest
2603,CO,Forested Upland,Deciduous Forest
2715,CO,Forested Upland,Evergreen Forest
2731,CO,Herbaceous Upland,Grasslands/Herbaceous
2971,CO,Shrubland,Shrubland
2987,CO,Herbaceous Upland,Grasslands/Herbaceous
3099,CO,Herbaceous Upland,Grasslands/Herbaceous
3131,CO,Herbaceous Upland,Grasslands/Herbaceous
3291,CO,Forested Upland,Evergreen Forest
3307,CO,Shrubland,Shrubland
3323,CO,Shrubland,Shrubland
3371,CO,Forested Upland,Mixed Forest
3499,CO,Shrubland,Shrubland
3563,CO,Planted/Cultivated,Pasture/Hay
3579,CO,Shrubland,Shrubland
3675,CO,Herbaceous Upland,Grasslands/Herbaceous
3739,CO,Shrubland,Shrubland
3755,CO,Herbaceous Upland,Grasslands/Herbaceous
3995,CO,Forested Upland,Mixed Forest
4011,CO,Herbaceous Upland,Grasslands/Herbaceous
4155,CO,Herbaceous Upland,Grasslands/Herbaceous
4187,CO,Herbaceous Upland,Grasslands/Herbaceous
4315,CO,Herbaceous Upland,Grasslands/Herbaceous
4331,CO,Forested Upland,Mixed Forest
4571,CO,Forested Upland,Mixed Forest
4587,CO,Herbaceous Upland,Grasslands/Herbaceous
4699,CO,Forested Upland,Evergreen Forest
4763,CO,Shrubland,Shrubland
4779,CO,Herbaceous Upland,Grasslands/Herbaceous
5019,CO,Shrubland,Shrubland
5035,CO,Shrubland,Shrubland
5179,CO,Herbaceous Upland,Grasslands/Herbaceous
5211,CO,Herbaceous Upland,Grasslands/Herbaceous
5227,CO,Planted/Cultivated,Small Grains
5291,CO,Herbaceous Upland,Grasslands/Herbaceous
5339,CO,Forested Upland,Mixed Forest
5355,CO,Forested Upland,Evergreen Forest
5371,CO,Shrubland,Shrubland
5611,CO,Herbaceous Upland,Grasslands/Herbaceous
5627,CO,Shrubland,Shrubland
5675,CO,Forested Upland,Evergreen Forest
5723,CO,Forested Upland,Evergreen Forest
5787,CO,Forested Upland,Evergreen Forest
5867,CO,Herbaceous Upland,Grasslands/Herbaceous
6043,CO,Shrubland,Shrubland
6059,CO,Shrubland,Shrubland
6171,CO,Herbaceous Upland,Grasslands/Herbaceous
6251,CO,Shrubland,Shrubland
6315,CO,Planted/Cultivated,Pasture/Hay
6363,CO,Forested Upland,Mixed Forest
6379,CO,Herbaceous Upland,Grasslands/Herbaceous
6443,CO,Shrubland,Shrubland
6571,CO,Herbaceous Upland,Grasslands/Herbaceous
6635,CO,Herbaceous Upland,Grasslands/Herbaceous
6651,CO,Shrubland,Shrubland
6699,CO,Forested Upland,Mixed Forest
6747,CO,Herbaceous Upland,Grasslands/Herbaceous
6811,CO,Shrubland,Shrubland
6827,CO,Shrubland,Shrubland
6939,CO,Shrubland,Shrubland
7083,CO,Herbaceous Upland,Grasslands/Herbaceous
7227,CO,Shrubland,Shrubland
7387,CO,Shrubland,Shrubland
7403,CO,Shrubland,Shrubland
7419,CO,Shrubland,Shrubland
7467,CO,Herbaceous Upland,Grasslands/Herbaceous
7595,CO,Herbaceous Upland,Grasslands/Herbaceous
7659,CO,Shrubland,Shrubland
7835,CO,Shrubland,Shrubland
7851,CO,Forested Upland,Evergreen Forest
8091,CO,Shrubland,Shrubland
8107,CO,Planted/Cultivated,Small Grains
8251,CO,Shrubland,Shrubland
8363,CO,Herbaceous Upland,Grasslands/Herbaceous
8411,CO,Shrubland,Shrubland
8427,CO,Developed,Low Intensity Residential
8667,CO,Shrubland,Shrubland
8683,CO,Herbaceous Upland,Grasslands/Herbaceous
8795,CO,Forested Upland,Evergreen Forest
8859,CO,Shrubland,Shrubland
8875,CO,Herbaceous Upland,Grasslands/Herbaceous
8939,CO,Shrubland,Shrubland
9115,CO,Shrubland,Shrubland
9131,CO,Forested Upland,Mixed Forest
9243,CO,Planted/Cultivated,Small Grains
9435,CO,Shrubland,Shrubland
9451,CO,Forested Upland,Evergreen Forest
9515,CO,Developed,Low Intensity Residential
9707,CO,Herbaceous Upland,Grasslands/Herbaceous
