SiteID,SOC
219,4.32
235,3.28
475,0.38
491,0.52
507,1.26
683,0.9
747,0.84
923,1.05
939,1.28
1115,3.87
1195,2.05
1243,4.31
1259,0.64
1499,0.96
1515,1.18
1531,4.11
1579,1.52
1627,1.44
1691,1.36
1707,1
1947,2.98
1963,3.98
2075,1.18
2107,1.6
2155,1.03
2219,0.91
2267,12.4
2283,1.2
2347,7.01
2539,1.8
2555,2.67
2603,7.14
2715,0.5
2731,0.46
2971,1.2
2987,2.75
3099,2.01
3131,1
3291,1.88
3307,0.74
3323,3.79
3371,7.4
3499,0.4
3563,0.76
3579,0.96
3675,2.35
3739,0.3
3755,1.7
3995,0.51
4011,0.51
4155,0.64
4187,1.83
4315,7.63
4331,4.09
4571,0.89
4587,0.42
4699,1.77
4763,1.64
4779,2.99
5019,1.07
5035,3.03
5179,1.07
5211,1.65
5227,0.9
5291,0.9
5339,2.61
5355,3.03
5371,1.2
5611,0.9
5627,3.23
5675,2.19
5723,21.8
5787,3.96
5867,1.05
6043,0.56
6059,0.63
6171,2.23
6251,1.1
6315,1.18
6363,4.44
6379,0.9
6443,1.1
6571,1.57
6635,0.68
6651,2.2
6699,4.89
6747,0.8
6811,3.45
6827,1.42
6939,1.2
7083,0.61
7227,0.5
7387,5.48
7403,0.53
7419,0.7
7467,2.88
7595,1.14
7659,0.5
7835,1.86
7851,8.58
8091,8.25
8107,0.58
8251,1
8363,2.26
8411,1.67
8427,1.89
8667,0.95
8683,1.5
8795,2.68
8859,2.97
8875,1.91
8939,1.44
9115,2.1
9131,4.68
9243,1.19
9435,4.32
9451,6.01
9515,1.8
9707,0.47
9723,4.5
9771,2.09
9819,3.2
9883,1.35
9899,3.1
10139,1.98
10155,1.3
10267,1.16
10347,0.94
10411,0.34
10459,1.6
10475,1.17
10491,1.83
10539,9.55
10731,0.49
10747,2.25
10843,1.12
10907,8.76
10923,7.77
11035,0.15
11163,1.58
11179,0.91
11419,0.76
11483,5.43
11499,0.71
11691,0.64
11755,0.93
11931,1
11947,1.09
12075,1.15
12187,1.82
12203,1.4
12347,5.3
12379,0.41
12395,1.53
12459,3.84
12507,5.62
12523,0.19
12763,6.22
12779,1.42
12795,1.4
12843,1.84
12891,1.52
12955,3.57
12971,1.6
13211,18.5
104,3.92
107,1.08
171,1.6
216,1.8
296,1.3
427,4.3
472,2.6
664,3.5
728,N.S.
920,4.4
984,2.6
1128,1.19
1131,0.7
1432,2.96
1451,1.29
1496,1.79
1688,3.55
1752,2.39
