,FIPS,county,state,x,y,min,max,mean,median
0,35028.0,Los Alamos County,NM,-920555.1069,1474062.756,1988.2099609375,2753.52001953125,2328.693318684896,2342.7750244140625
1,20151.0,Pratt County,KS,-239359.7498,1626824.34,538.9940185546875,641.2109985351562,591.0806877039656,586.1160278320312
2,20039.0,Decatur County,KS,-378359.4027,1871727.422,749.9030151367188,891.1929931640625,815.7783741284442,815.3400268554688
3,35006.0,Cibola County,NM,-1084544.212,1385659.523,1724.449951171875,2630.840087890625,2162.169233865941,2188.830078125
4,20097.0,Kiowa County,KS,-287453.6092,1618321.265,588.2579956054688,718.697998046875,672.2045559353298,676.5919799804688
5,20089.0,Jewell County,KS,-188258.5912,1865050.74,-3.4028234663852886e+38,566.9920043945312,-2.2685489775901924e+37,507.0679931640625
6,8081.0,Moffat County,CO,-1021328.67,2022008.896,1764.780029296875,2653.239990234375,2052.5075559032207,2036.8299560546875
7,56025.0,Natrona County,WY,-874281.006,2268113.606,1503.3699951171875,2503.25,1848.0434276642447,1824.760009765625
8,20163.0,Rooks County,KS,-283849.6143,1819136.411,561.843017578125,672.7960205078125,612.7221062320402,613.5859985351562
9,20187.0,Stanton County,KS,-505790.2027,1629263.589,963.6920166015625,1101.68994140625,1031.5171287647192,1026.3599853515625
10,20067.0,Grant County,KS,-464192.9137,1626739.328,908.1669921875,969.0499877929688,937.9148677702873,939.6799926757812
11,35015.0,Eddy County,NM,-775358.9983,1078226.936,902.0390014648438,1938.18994140625,1143.7777913411458,1078.739990234375
12,35057.0,Torrance County,NM,-894223.1289,1332973.593,1834.6800537109375,2326.7900390625,1966.798785435671,1943.3300170898438
13,20205.0,Wilson County,KS,22467.50545,1613477.525,261.45001220703125,302.5060119628906,283.3520169939314,280.96099853515625
14,8125.0,Yuma County,CO,-543238.3122,1905602.144,1084.989990234375,1335.4599609375,1198.2105261329714,1188.3900146484375
15,20189.0,Stevens County,KS,-466852.9311,1585353.725,893.7109985351562,1001.2899780273438,945.4713974989854,944.4760131835938
16,20031.0,Coffey County,KS,23055.39638,1689398.086,314.4289855957031,357.343994140625,336.475476165316,337.4049987792969
17,56027.0,Niobrara County,WY,-685822.8765,2259513.738,-3.4028234663852886e+38,1682.0999755859375,-1.2510380391122385e+36,1352.02001953125
