SiteID,SOC
1,2.304
2,3.154
3,1.309
4,4.717
5,2.23
6,21.591
7,21.591
8,2.983
9,2.983
10,2.983
11,4.569
12,6.129
13,6.129
14,6.129
15,15.303
16,4.555
17,1.611
18,1.611
19,1.611
20,6.334
21,12.02
22,3.678
23,1.665
24,16.652
25,5.995
26,4.874
27,4.874
28,4.411
29,30.473
30,8.221
31,3.459
32,6.641
33,2.397
34,3.067
35,9.1
36,23.19
37,23.19
38,23.19
39,6.536
40,11.589
41,6.384
42,1.049
43,1.049
44,1.049
45,5.699
46,5.528
47,9.345
48,1.36
49,12.488
50,4.461
51,4.461
52,4.461
53,5.27
54,21.125
55,19.099
56,16.019
57,3.152
58,3.211
59,2.827
60,2.827
61,6.208
62,6.208
63,6.208
64,3.446
65,1.542
66,1.542
67,1.542
68,4.974
69,3.595
70,6.448
71,6.448
72,6.448
73,6.753
74,13.431
75,23.058
76,18.391
77,5.026
78,12.728
79,11.187
80,2.784
81,3.344
82,3.564
83,3.075
84,0.152
85,0.152
86,0.152
87,4.011
88,6.147
89,6.147
90,10.535
91,7.178
92,7.178
93,7.178
94,0.736
95,7.03
96,17.884
97,6.439
98,3.935
99,7.109
100,5.215
101,2.821
102,2.821
103,2.821
104,3.812
105,6.015
106,8.818
107,6.361
108,2.203
109,2.203
110,2.203
111,2.359
112,14.276
113,1.9
114,9.334
115,3.923
116,3.923
117,3.923
118,4.977
119,9.614
120,4.592
121,8.05
122,2.644
123,2.644
124,2.644
125,16.201
126,9.151
127,27.984
128,16.527
129,7.096
130,7.096
131,6.33
132,15.641
133,10.653
134,3.692
135,2.328
136,2.328
137,2.328
138,2.47
139,0.73
140,0.73
141,0.73
142,5.051
143,10.993
144,11.22
145,11.22
146,14.541
147,11.156
148,3.48
149,11.275
150,13.351
151,13.351
152,13.351
153,5.378
154,4.517
155,12.132
156,0.708
157,2.18
158,2.18
159,2.18
160,10.672
161,10.672
162,10.672
163,10.728
164,2.274
165,1.249
166,9.529
167,9.529
168,9.529
169,11.779
170,9.419
171,9.419
172,9.419
173,7.5
174,6.433
175,8.366
176,12.587
177,15.443
178,16.51
179,12.496
180,12.496
181,12.496
182,5.388
183,3.071
184,1.015
185,15.74
186,3.407
187,3.407
188,3.407
189,7.719
190,6.746
191,4.903
192,5.171
193,9.48
194,4.488
195,5.665
196,7.515
197,5.26
198,4.322
199,6.009
200,5.37
201,1.97
202,4.622
203,3.667
204,3.667
205,3.667
206,5.744
207,9.657
208,10.356
209,10.356
210,1.03
211,4.002
212,9.461
213,9.461
214,9.461
215,5.46
216,12.903
217,18.062
218,7.438
219,7.438
220,7.438
221,4.358
222,0.462
223,13.147
224,3.956
225,8.907
226,8.907
227,8.907
228,14.082
229,3.9
230,3.9
231,3.9
232,4.563
233,9.126
234,5.02
235,9.957
236,11.136
237,11.136
238,4.31
239,4.31
240,4.31
241,4.126
242,4.126
243,4.126
244,2.349
245,8.78
246,3.7
247,10.413
248,8.929
249,5.571
250,7.794
251,7.794
252,7.794
253,10.793
254,6.6
255,7.668
256,8.627
257,13.335
258,10.607
259,10.607
260,6.325
261,4.678
262,5.625
263,8.621
264,1.726
265,1.726
266,1.726
267,4.327
268,4.23
269,2.335
270,2.335
271,2.335
272,7.946
273,10.54
274,10.54
275,10.54
276,11.578
277,11.578
278,11.578
279,6.826
280,4.83
281,9.889
282,9.889
283,9.889
284,13.564
285,7.183
286,11.327
287,14.977
288,1.823
289,1.823
290,1.823
291,7.718
292,11.22
293,3.393
294,3.842
295,1.619
296,0.471
297,0.471
298,0.471
299,1.082
300,0.408
301,1.085
302,1.255
303,2.768
304,2.735
305,7.596
306,4.986
307,4.986
308,4.986
309,6.378
310,6.378
311,6.378
312,7.746
313,2.519
314,3.243
315,0.998
316,1.139
317,1.071
318,1.016
319,10.276
320,1.303
321,6.209
322,6.209
323,2.759
324,0.494
325,6.509
326,3.65
327,4.971
328,1.174
329,3.568
330,0.843
331,1.12
332,2.727
333,0.677
334,0.606
335,5.16
336,2.21
337,0.93
338,0.93
339,0.93
340,4.861
341,1.596
342,1.35
343,2.181
344,2.181
345,1.712
346,1.646
347,4.594
348,3.158
349,1.35
350,3.777
351,3.777
352,3.777
353,6.088
354,0.485
355,7.533
356,3.094
357,3.094
358,3.094
359,1.941
360,1.941
361,1.941
362,1.102
363,0.804
364,18.277
365,2.771
366,2.771
367,2.771
368,4.953
369,7.6
370,2.295
371,2.295
372,2.295
373,2.977
374,2.977
375,2.977
376,1.095
377,1.095
378,1.509
379,1.509
380,1.509
381,2.545
382,3.02
383,3.02
384,3.02
385,3.915
386,1.025
387,1.025
388,1.025
389,1.152
390,1.293
391,2.459
392,3.122
393,2.884
394,2.649
395,4.83
396,6.098
397,6.098
398,1.649
399,5.198
400,5.198
401,3.539
402,3.539
403,3.539
404,2.425
405,2.425
406,2.425
407,1.88
408,5.721
409,3.537
410,8.473
411,8.473
412,8.473
413,4.313
414,4.313
415,4.313
416,7.841
417,3.113
418,3.113
419,3.113
420,13.743
421,4.01
422,6.903
423,6.903
424,6.903
425,4.778
426,7.046
427,6.189
428,6.19
429,1.46
430,8.974
431,8.974
432,1.408
433,0.244
434,0.244
435,0.244
436,3.134
437,2.379
438,10.076
439,9.51
440,10.076
441,3.983
442,3.983
443,3.595
444,4.594
445,4.594
446,4.594
447,3.489
448,5.313
449,5.313
450,5.313
451,6.423
452,2.352
453,4.392
454,13.007
455,13.007
456,13.007
457,4.726
458,4.726
459,4.726
460,12.979
461,7.726
462,8.791
463,6.084
464,4.909
465,1.698
466,1.49
467,0.355
468,2.743
469,0.8
470,0.8
471,0.8
472,0.645
473,6.309
474,2.738
475,2.738
476,2.738
477,5.803
478,3.974
479,5.499
480,5.499
481,13.758
482,6.123
483,4.518
484,10.72
485,10.72
486,10.72
487,2.126
488,15.883
489,3.703
490,3.703
491,0.446
492,0.446
493,1.13
494,1.015
495,4.904
496,6.363
497,6.363
498,6.363
499,3.329
500,7.292
501,7.114
502,19.092
503,14.242
504,10.661
505,2.996
506,2.996
507,2.996
508,4.516
509,4.516
510,4.034
511,2.045
512,3.141
513,5.009
514,8.328
515,18.814
516,5.862
517,5.862
518,5.862
519,11.049
520,11.388
521,11.388
522,11.388
523,21.644
524,15.595
525,3.021
526,7.356
527,3.02
528,2.916
529,10.319
530,1.277
531,1.277
532,1.277
533,2.24
534,0.605
535,0.605
536,0.605
537,0.5
538,0.5
539,0.5
540,24.954
541,24.954
542,18.142
543,21.455
544,21.455
545,21.455
546,16.987
547,10.745
548,10.745
549,10.745
550,6.288
551,6.288
552,6.288
553,9.908
554,15.763
555,11.227
556,1.517
557,1.517
558,2.899
559,2.899
560,0.633
561,0.633
562,1.764
563,11.615
564,3.039
565,3.039
566,4.701
567,4.701
568,4.701
569,3.105
570,5.6
