FIPS,X,Y,Year,Rate,POVERTY,SMOKING,PM25,NO2,SO2
10001,1737530.538,1972072.594,2000,77.29611565,10.8,27.5,15.16,4.613,0.087519353
10001,1737530.538,1972072.594,2010,69.68817154,12.1,24.1,10.49,2.509,0.023074907
10001,1737530.538,1972072.594,2001,79.10408549,10.3,26.8,15.19,5.088,0.082935062
10001,1737530.538,1972072.594,2004,75.58655491,11.4,26.4,14.42,3.381,0.087648518
10001,1737530.538,1972072.594,2008,71.87728226,10.7,24.4,10.63,2.776,0.071072193
10001,1737530.538,1972072.594,1999,79.68734202,12.1,27.7,14.62,4.637,0.09042249
10001,1737530.538,1972072.594,2009,71.07835799,13.6,24.7,9.93,2.103,0.051286955
10001,1737530.538,1972072.594,2011,68.25531749,14.9,25.2,11.24,2.044,0.018287617
10001,1737530.538,1972072.594,2012,68.9719446,13.4,24.4,10.44,2.21,0.011123396
10001,1737530.538,1972072.594,1998,77.53129968,11.9,27.8,16.47,4.026,0.097455115
10001,1737530.538,1972072.594,2006,73.22532938,12.7,26.4,12.95,3.64,0.079571807
10001,1737530.538,1972072.594,2003,76.90869003,10.7,27.4,16.64,3.948,0.087282847
10001,1737530.538,1972072.594,2002,77.12545718,11.3,26,16.49,3.466,0.080040483
10001,1737530.538,1972072.594,2007,71.84707085,12.1,26.3,12.22,2.792,0.083996563
10001,1737530.538,1972072.594,2005,75.71040644,11,26,14.45,4.09,0.087707242
10003,1719077.989,2024828.341,2011,59.32238451,12,20.5,12.08,2.839,0.017785849
10003,1719077.989,2024828.341,2009,59.03205459,10.1,21,10.59,2.917,0.049474602
10003,1719077.989,2024828.341,1999,73.40868684,8.3,25.8,14.03,6.412,0.087642349
10003,1719077.989,2024828.341,2003,68.58688456,8.3,25.3,17.69,5.829,0.08564626
10003,1719077.989,2024828.341,2010,58.70013675,11.2,20.4,10.78,3.076,0.023991462
10003,1719077.989,2024828.341,2001,72.74782021,7.2,24.5,16.36,6.048,0.079433413
10003,1719077.989,2024828.341,2000,71.3205418,7.4,25.1,15.69,6.814,0.08404632
10003,1719077.989,2024828.341,2002,69.17794358,8.1,24.3,17.27,5.986,0.078640189
10003,1719077.989,2024828.341,2012,56.56125736,11.4,19.9,11.39,3.234,0.011217163
